"Time (seconds)",Energy,Damage
0,48.8,10
0.25,48.6,9.6
0.5,48.4,9.6
0.75,48.1,9.5
1,47.9,9.4
1.25,47.6,9.3
1.5,48.4,9.3
1.75,49.6,9.2
2,50.4,9.1
2.25,51.6,9
2.5,52.4,9
2.75,53.6,8.9
3,54.4,8.8
3.25,55.6,8.7
3.5,56.4,8.7
3.75,57.6,8.6
4,58.4,8.5
4.25,59.6,8.4
4.5,60.4,8.4
4.75,61.6,8.3
5,62.4,8.2
5.25,63.6,8.1
5.5,64.4,8.1
5.75,65.6,8
6,66.4,7.9
6.25,67.6,7.8
6.5,68.4,7.8
6.75,69.6,7.7
7,70.4,7.6
7.25,71.4,7.5
7.5,72.2,7.5
7.75,73.3,7.4
8,74.1,7.3
8.25,75.3,7.2
8.5,76.1,7.2
8.75,77.3,7.1
9,78.1,7
9.25,79.3,6.9
9.5,80.1,6.9
9.75,79.8,6.8
10,79.6,6.7
10.25,79.3,6.6
10.5,79.1,6.6
10.75,78.8,8.2
11,78.6,9.1
11.25,78.3,9.2
11.5,78.1,9.2
11.75,77.8,9.1
12,77.6,9
12.25,77.3,8.9
12.5,77.1,8.9
12.75,76.8,8.8
13,76.6,8.7
13.25,76.3,8.6
13.5,76.1,8.6
13.75,75.8,8.5
14,75.6,8.4
14.25,75.3,8.3
14.5,75.1,8.3
14.75,74.8,8.2
15,74.6,8.1
15.25,74.3,8
15.5,74.1,8
15.75,73.8,7.9
16,73.6,7.8
16.25,73.3,7.7
16.5,73.1,8.8
16.75,72.8,9.7
17,72.6,10.4
17.25,72.3,10.3
17.5,72.1,10.3
17.75,71.8,10.2
18,71.6,10.1
18.25,71.3,10
18.5,71.6,10
18.75,72.8,9.9
19,73.6,9.8
19.25,74.8,9.7
19.5,75.6,9.7
19.75,76.8,9.6
20,77.6,9.5
20.25,78.8,9.4
20.5,79.6,9.4
20.75,80.8,9.3
21,81.6,9.2
21.25,82.3,9.1
21.5,82.1,9.1
21.75,81.8,9
22,81.6,8.9
22.25,81.3,8.8
22.5,81.1,11
22.75,80.8,11.9
23,80.6,11.8
23.25,80.3,11.7
23.5,80.1,11.7
23.75,79.8,11.6
24,79.6,11.5
24.25,79.3,11.4
24.5,79.1,11.4
24.75,78.8,11.3
25,78.6,11.2
25.25,78.3,11.1
25.5,78.1,11.1
25.75,77.8,11
26,77.6,10.9
26.25,77.3,10.8
26.5,77.1,10.8
26.75,76.8,10.7
27,76.6,10.6
27.25,77.8,10.5
27.5,78.6,10.5
27.75,79.8,10.4
