"Time (seconds)",Energy,Damage
0,48.8,10
0.25,48.6,9.6
0.5,48.4,9.6
0.75,48.1,9.5
1,47.9,9.4
1.25,47.6,9.3
1.5,47.4,9.3
1.75,47.1,9.2
2,46.9,9.1
2.25,46.6,9
2.5,46.4,9
2.75,46.1,8.9
3,45.9,8.8
3.25,45.6,8.7
3.5,45.4,8.7
3.75,45.1,8.6
4,44.9,8.5
4.25,44.6,8.4
4.5,44.4,8.4
4.75,44.1,8.3
5,43.9,8.2
5.25,43.6,8.1
5.5,43.4,8.1
5.75,43.1,8
6,42.9,7.9
6.25,42.6,7.8
6.5,42.4,7.8
6.75,42.1,7.7
7,41.9,7.6
7.25,41.6,7.5
7.5,41.4,7.5
7.75,41.1,7.4
8,40.6,8.4
8.25,40.4,8.4
8.5,40.1,8.3
8.75,39.9,8.2
9,39.6,8.1
9.25,40.3,8.1
9.5,41.5,8
9.75,42.3,7.9
10,43.5,7.8
10.25,44.3,7.8
10.5,45.5,7.7
10.75,46.3,7.6
11,47.5,7.5
11.25,48.3,7.5
11.5,49.5,7.4
11.75,50.3,7.3
12,51.5,7.2
12.25,52.3,7.2
12.5,53.5,7.1
12.75,54.3,7
13,55.5,6.9
13.25,56.3,6.9
13.5,57.5,6.8
13.75,58.3,6.7
14,59.5,6.6
14.25,60.3,6.6
14.5,61.5,6.5
14.75,62.3,6.4
15,63.5,6.3
15.25,64.3,6.3
15.5,65.5,6.2
15.75,66.3,6.1
16,67.5,6
16.25,68.3,6
16.5,69.5,5.9
16.75,70.3,5.8
17,71.5,5.7
17.25,72.3,5.7
17.5,73.5,5.6
17.75,74.3,5.5
18,75.5,5.4
18.25,76.3,5.4
18.5,77.5,5.3
18.75,78.3,5.2
19,79.3,5.1
19.25,79.1,5.1
19.5,78.8,5
19.75,78.6,4.9
20,78.3,4.8
20.25,78.1,4.8
20.5,77.8,4.7
20.75,77.6,4.6
21,77.3,4.5
21.25,77.1,4.5
21.5,76.8,4.4
21.75,76.6,4.3
22,76.7,4.2
22.25,77.5,4.2
22.5,78.7,4.1
22.75,79.5,4
23,80.2,3.9
23.25,80,3.9
23.5,79.7,3.8
23.75,79.5,3.7
24,79.2,3.6
24.25,79,4.9
24.5,78.7,5.6
24.75,78.5,5.5
25,78.2,5.4
25.25,78,5.4
25.5,77.7,5.3
25.75,77.5,5.2
26,77.2,5.1
26.25,77,5.1
26.5,76.7,5
26.75,76.5,4.9
27,76.2,4.8
27.25,76,4.8
27.5,75.7,4.7
27.75,75.5,4.6
