Iteration; Energy; Damage;;100 - Damage;Wellbeing;;;
0;99,900002;0;;100;99,950001;;;
1;99,800003;0;;100;99,9000015;;Overall Wellbeing;52,22008204
2;99,700005;0;;100;99,8500025;;;
3;99,600006;0;;100;99,800003;;Physiological Balance;268,9121017
4;99,500008;0;;100;99,750004;;;
5;99,400009;0;;100;99,7000045;;;
6;99,300011;0;;100;99,6500055;;;
7;99,200012;0;;100;99,600006;;;
8;99,100014;0;;100;99,550007;;;
9;99,000015;0;;100;99,5000075;;;
10;98,900017;0;;100;99,4500085;;;
11;98,800018;0;;100;99,400009;;;
12;98,70002;0;;100;99,35001;;;
13;98,600021;0;;100;99,3000105;;;
14;98,500023;0;;100;99,2500115;;;
15;98,400024;5;;95;96,700012;;;
16;98,300026;5;;95;96,650013;;;
17;98,200027;5;;95;96,6000135;;;
18;98,100029;5;;95;96,5500145;;;
19;98,000031;5;;95;96,5000155;;;
20;97,900032;5;;95;96,450016;;;
21;97,800034;5;;95;96,400017;;;
22;97,700035;5;;95;96,3500175;;;
23;97,600037;5;;95;96,3000185;;;
24;97,500038;5;;95;96,250019;;;
25;97,40004;5;;95;96,20002;;;
26;97,300041;5;;95;96,1500205;;;
27;97,200043;5;;95;96,1000215;;;
28;97,100044;5;;95;96,050022;;;
29;97,000046;5;;95;96,000023;;;
30;96,900047;5;;95;95,9500235;;;
31;96,800049;5;;95;95,9000245;;;
32;96,70005;5;;95;95,850025;;;
33;96,600052;5;;95;95,800026;;;
34;96,500053;5;;95;95,7500265;;;
35;96,400055;5;;95;95,7000275;;;
36;96,300056;5;;95;95,650028;;;
37;96,200058;5;;95;95,600029;;;
38;96,10006;5;;95;95,55003;;;
39;96,000061;5;;95;95,5000305;;;
40;95,900063;5;;95;95,4500315;;;
41;95,800064;5;;95;95,400032;;;
42;95,700066;5;;95;95,350033;;;
43;95,600067;5;;95;95,3000335;;;
44;95,500069;5;;95;95,2500345;;;
45;95,40007;5;;95;95,200035;;;
46;95,300072;5;;95;95,150036;;;
47;95,200073;5;;95;95,1000365;;;
48;95,100075;5;;95;95,0500375;;;
49;95,000076;5;;95;95,000038;;;
50;94,900078;5;;95;94,950039;;;
51;94,800079;5;;95;94,9000395;;;
52;94,700081;5;;95;94,8500405;;;
53;94,600082;5;;95;94,800041;;;
54;94,500084;5;;95;94,750042;;;
55;94,400085;5;;95;94,7000425;;;
56;94,300087;5;;95;94,6500435;;;
57;94,200089;5;;95;94,6000445;;;
58;94,10009;5;;95;94,550045;;;
59;94,000092;5;;95;94,500046;;;
60;93,900093;5;;95;94,4500465;;;
61;93,800095;5;;95;94,4000475;;;
62;93,700096;5;;95;94,350048;;;
63;93,600098;5;;95;94,300049;;;
64;93,500099;5;;95;94,2500495;;;
65;93,400101;5;;95;94,2000505;;;
66;93,300102;5;;95;94,150051;;;
67;93,200104;5;;95;94,100052;;;
68;93,100105;5;;95;94,0500525;;;
69;93,000107;5;;95;94,0000535;;;
70;92,900108;5;;95;93,950054;;;
71;92,80011;5;;95;93,900055;;;
72;92,700111;5;;95;93,8500555;;;
73;92,600113;5;;95;93,8000565;;;
74;92,500114;5;;95;93,750057;;;
75;92,400116;5;;95;93,700058;;;
76;92,300117;5;;95;93,6500585;;;
77;92,200119;5;;95;93,6000595;;;
78;92,100121;5;;95;93,5500605;;;
79;92,000122;5;;95;93,500061;;;
80;91,900124;5;;95;93,450062;;;
81;91,800125;5;;95;93,4000625;;;
82;91,700127;10;;90;90,8500635;;;
83;91,600128;15;;85;88,300064;;;
84;91,50013;20;;80;85,750065;;;
85;91,400131;25;;75;83,2000655;;;
86;91,300133;30;;70;80,6500665;;;
87;91,200134;35;;65;78,100067;;;
88;91,100136;35;;65;78,050068;;;
89;91,000137;35;;65;78,0000685;;;
90;90,900139;35;;65;77,9500695;;;
91;90,80014;35;;65;77,90007;;;
92;90,700142;35;;65;77,850071;;;
93;90,600143;35;;65;77,8000715;;;
94;90,500145;35;;65;77,7500725;;;
95;90,400146;35;;65;77,700073;;;
96;90,300148;35;;65;77,650074;;;
97;90,20015;35;;65;77,600075;;;
98;90,100151;35;;65;77,5500755;;;
99;90,000153;35;;65;77,5000765;;;
100;89,900154;35;;65;77,450077;;;
101;89,800156;35;;65;77,400078;;;
102;89,700157;35;;65;77,3500785;;;
103;89,600159;35;;65;77,3000795;;;
104;89,50016;35;;65;77,25008;;;
105;89,400162;35;;65;77,200081;;;
106;89,300163;35;;65;77,1500815;;;
107;89,200165;35;;65;77,1000825;;;
108;89,100166;35;;65;77,050083;;;
109;89,000168;35;;65;77,000084;;;
110;88,900169;35;;65;76,9500845;;;
111;88,800171;35;;65;76,9000855;;;
112;88,700172;35;;65;76,850086;;;
113;88,600174;35;;65;76,800087;;;
114;88,500175;35;;65;76,7500875;;;
115;88,400177;35;;65;76,7000885;;;
116;88,300179;35;;65;76,6500895;;;
117;88,20018;35;;65;76,60009;;;
118;88,100182;35;;65;76,550091;;;
119;88,000183;35;;65;76,5000915;;;
120;87,900185;35;;65;76,4500925;;;
121;87,800186;35;;65;76,400093;;;
122;87,700188;35;;65;76,350094;;;
123;87,600189;35;;65;76,3000945;;;
124;87,500191;35;;65;76,2500955;;;
125;87,400192;35;;65;76,200096;;;
126;87,300194;35;;65;76,150097;;;
127;87,200195;35;;65;76,1000975;;;
128;87,100197;35;;65;76,0500985;;;
129;87,000198;35;;65;76,000099;;;
130;86,9002;35;;65;75,9501;;;
131;86,800201;35;;65;75,9001005;;;
132;86,700203;35;;65;75,8501015;;;
133;86,600204;35;;65;75,800102;;;
134;86,500206;35;;65;75,750103;;;
135;86,400208;35;;65;75,700104;;;
136;86,300209;35;;65;75,6501045;;;
137;86,200211;35;;65;75,6001055;;;
138;86,100212;35;;65;75,550106;;;
139;86,000214;35;;65;75,500107;;;
140;85,900215;35;;65;75,4501075;;;
141;85,800217;35;;65;75,4001085;;;
142;85,700218;35;;65;75,350109;;;
143;85,60022;35;;65;75,30011;;;
144;85,500221;35;;65;75,2501105;;;
145;85,400223;35;;65;75,2001115;;;
146;85,300224;35;;65;75,150112;;;
147;85,200226;35;;65;75,100113;;;
148;85,100227;35;;65;75,0501135;;;
149;85,000229;35;;65;75,0001145;;;
150;84,90023;35;;65;74,950115;;;
151;84,800232;35;;65;74,900116;;;
152;84,700233;35;;65;74,8501165;;;
153;84,600235;35;;65;74,8001175;;;
154;84,500237;35;;65;74,7501185;;;
155;84,400238;35;;65;74,700119;;;
156;84,30024;35;;65;74,65012;;;
157;84,200241;35;;65;74,6001205;;;
