Iterations;Energy;Damage;;Wellbeing;;
0;99,900002;0;;99,950001;;
1;99,800003;0;;99,9000015;;
2;99,700005;0;;99,8500025;;
3;99,600006;0;;99,800003;;Overall Wellbeing
4;99,500008;0;;99,750004;;70,18514378
5;99,400009;0;;99,7000045;;
6;99,300011;0;;99,6500055;;Physiological value
7;99,200012;0;;99,600006;;233,6535524
8;99,100014;0;;99,550007;;
9;99,000015;0;;99,5000075;;
10;98,900017;0;;99,4500085;;
11;98,800018;0;;99,400009;;
12;98,70002;5;;96,85001;;
13;98,600021;10;;94,3000105;;
14;98,500023;10;;94,2500115;;
15;98,400024;10;;94,200012;;
16;98,300026;15;;91,650013;;
17;98,200027;20;;89,1000135;;
18;98,100029;20;;89,0500145;;
19;98,000031;20;;89,0000155;;
20;97,900032;20;;88,950016;;
21;97,800034;20;;88,900017;;
22;97,700035;20;;88,8500175;;
23;97,600037;20;;88,8000185;;
24;97,500038;20;;88,750019;;
25;97,40004;20;;88,70002;;
26;97,300041;20;;88,6500205;;
27;97,200043;20;;88,6000215;;
28;97,100044;20;;88,550022;;
29;97,000046;20;;88,500023;;
30;96,900047;20;;88,4500235;;
31;96,800049;20;;88,4000245;;
32;96,70005;20;;88,350025;;
33;96,600052;20;;88,300026;;
34;96,500053;20;;88,2500265;;
35;96,400055;20;;88,2000275;;
36;96,300056;20;;88,150028;;
37;96,200058;20;;88,100029;;
38;96,10006;20;;88,05003;;
39;96,000061;20;;88,0000305;;
40;95,900063;20;;87,9500315;;
41;95,800064;20;;87,900032;;
42;95,700066;20;;87,850033;;
43;95,600067;20;;87,8000335;;
44;95,500069;20;;87,7500345;;
45;95,40007;20;;87,700035;;
46;95,300072;20;;87,650036;;
47;95,200073;20;;87,6000365;;
48;95,100075;20;;87,5500375;;
49;95,000076;20;;87,500038;;
50;94,900078;20;;87,450039;;
51;94,800079;20;;87,4000395;;
52;94,700081;20;;87,3500405;;
53;94,600082;20;;87,300041;;
54;94,500084;20;;87,250042;;
55;94,400085;20;;87,2000425;;
56;94,300087;20;;87,1500435;;
57;94,200089;20;;87,1000445;;
58;94,10009;20;;87,050045;;
59;94,000092;20;;87,000046;;
60;93,900093;20;;86,9500465;;
61;93,800095;20;;86,9000475;;
62;93,700096;20;;86,850048;;
63;93,600098;20;;86,800049;;
64;93,500099;20;;86,7500495;;
65;93,400101;20;;86,7000505;;
66;93,300102;20;;86,650051;;
67;93,200104;20;;86,600052;;
68;93,100105;20;;86,5500525;;
69;93,000107;20;;86,5000535;;
70;92,900108;20;;86,450054;;
71;92,80011;20;;86,400055;;
72;92,700111;20;;86,3500555;;
73;92,600113;20;;86,3000565;;
74;92,500114;20;;86,250057;;
75;92,400116;20;;86,200058;;
76;92,300117;20;;86,1500585;;
77;92,200119;20;;86,1000595;;
78;92,100121;20;;86,0500605;;
79;92,000122;20;;86,000061;;
80;91,900124;20;;85,950062;;
81;91,800125;20;;85,9000625;;
82;91,700127;20;;85,8500635;;
83;91,600128;20;;85,800064;;
84;91,50013;20;;85,750065;;
85;91,400131;20;;85,7000655;;
86;91,300133;20;;85,6500665;;
87;91,200134;20;;85,600067;;
88;91,100136;20;;85,550068;;
89;91,000137;20;;85,5000685;;
90;90,900139;20;;85,4500695;;
91;90,80014;20;;85,40007;;
92;90,700142;20;;85,350071;;
93;90,600143;20;;85,3000715;;
94;90,500145;20;;85,2500725;;
95;90,400146;20;;85,200073;;
96;90,300148;20;;85,150074;;
97;90,20015;20;;85,100075;;
98;90,100151;20;;85,0500755;;
99;90,000153;20;;85,0000765;;
100;89,900154;20;;84,950077;;
101;89,800156;20;;84,900078;;
102;89,700157;20;;84,8500785;;
103;89,600159;20;;84,8000795;;
104;89,50016;20;;84,75008;;
105;89,400162;20;;84,700081;;
106;89,300163;20;;84,6500815;;
107;89,200165;20;;84,6000825;;
108;89,100166;20;;84,550083;;
109;89,000168;20;;84,500084;;
110;88,900169;20;;84,4500845;;
111;88,800171;20;;84,4000855;;
112;88,700172;20;;84,350086;;
113;88,600174;20;;84,300087;;
114;88,500175;20;;84,2500875;;
115;88,400177;20;;84,2000885;;
116;88,300179;20;;84,1500895;;
117;88,20018;20;;84,10009;;
118;88,100182;20;;84,050091;;
119;88,000183;20;;84,0000915;;
120;87,900185;20;;83,9500925;;
121;87,800186;20;;83,900093;;
122;87,700188;20;;83,850094;;
123;87,600189;20;;83,8000945;;
124;87,500191;20;;83,7500955;;
125;87,400192;20;;83,700096;;
126;87,300194;20;;83,650097;;
127;87,200195;20;;83,6000975;;
128;87,100197;20;;83,5500985;;
129;87,000198;20;;83,500099;;
130;86,9002;20;;83,4501;;
131;86,800201;20;;83,4001005;;
132;86,700203;20;;83,3501015;;
133;86,600204;20;;83,300102;;
134;86,500206;20;;83,250103;;
135;86,400208;20;;83,200104;;
136;86,300209;20;;83,1501045;;
137;86,200211;20;;83,1001055;;
138;86,100212;20;;83,050106;;
139;86,000214;20;;83,000107;;
140;85,900215;20;;82,9501075;;
141;85,800217;20;;82,9001085;;
142;85,700218;20;;82,850109;;
143;85,60022;20;;82,80011;;
144;85,500221;20;;82,7501105;;
145;85,400223;20;;82,7001115;;
146;85,300224;20;;82,650112;;
147;85,200226;20;;82,600113;;
148;85,100227;20;;82,5501135;;
149;85,000229;20;;82,5001145;;
150;84,90023;20;;82,450115;;
151;84,800232;20;;82,400116;;
152;84,700233;20;;82,3501165;;
153;84,600235;20;;82,3001175;;
154;84,500237;20;;82,2501185;;
155;84,400238;20;;82,200119;;
156;84,30024;20;;82,15012;;
157;84,200241;20;;82,1001205;;
158;84,100243;20;;82,0501215;;
