Iteration; Energy; Damage;;Energy - 0;100 - Damage;Wellbeing (iteration);
0;99,900002;0;;99,900002;100;99,950001;
1;99,800003;0;;99,800003;100;99,9000015;
2;99,700005;0;;99,700005;100;99,8500025;
3;99,600006;0;;99,600006;100;99,800003;
4;99,500008;0;;99,500008;100;99,750004;
5;99,400009;0;;99,400009;100;99,7000045;
6;99,300011;0;;99,300011;100;99,6500055;
7;99,200012;0;;99,200012;100;99,600006;
8;99,100014;0;;99,100014;100;99,550007;
9;99,000015;0;;99,000015;100;99,5000075;
10;98,900017;0;;98,900017;100;99,4500085;
11;98,800018;0;;98,800018;100;99,400009;
12;98,70002;0;;98,70002;100;99,35001;
13;98,600021;0;;98,600021;100;99,3000105;
14;98,500023;0;;98,500023;100;99,2500115;
15;98,400024;0;;98,400024;100;99,200012;
16;98,300026;0;;98,300026;100;99,150013;
17;98,200027;0;;98,200027;100;99,1000135;
18;98,100029;0;;98,100029;100;99,0500145;
19;98,000031;0;;98,000031;100;99,0000155;
20;97,900032;0;;97,900032;100;98,950016;
21;97,800034;0;;97,800034;100;98,900017;
22;97,700035;0;;97,700035;100;98,8500175;
23;97,600037;0;;97,600037;100;98,8000185;
24;97,500038;0;;97,500038;100;98,750019;
25;97,40004;0;;97,40004;100;98,70002;
26;97,300041;0;;97,300041;100;98,6500205;
27;97,200043;0;;97,200043;100;98,6000215;
28;97,100044;0;;97,100044;100;98,550022;
29;97,000046;0;;97,000046;100;98,500023;
30;96,900047;0;;96,900047;100;98,4500235;
31;96,800049;0;;96,800049;100;98,4000245;
32;96,70005;0;;96,70005;100;98,350025;
33;96,600052;0;;96,600052;100;98,300026;
34;96,500053;0;;96,500053;100;98,2500265;
35;96,400055;0;;96,400055;100;98,2000275;
36;96,300056;0;;96,300056;100;98,150028;
37;96,200058;0;;96,200058;100;98,100029;
38;96,10006;0;;96,10006;100;98,05003;
39;96,000061;0;;96,000061;100;98,0000305;
40;95,900063;0;;95,900063;100;97,9500315;
41;95,800064;0;;95,800064;100;97,900032;
42;95,700066;0;;95,700066;100;97,850033;
43;95,600067;0;;95,600067;100;97,8000335;
44;95,500069;5;;95,500069;95;95,2500345;
45;95,40007;5;;95,40007;95;95,200035;
46;95,300072;5;;95,300072;95;95,150036;
47;95,200073;5;;95,200073;95;95,1000365;
48;95,100075;5;;95,100075;95;95,0500375;
49;95,000076;5;;95,000076;95;95,000038;
50;94,900078;5;;94,900078;95;94,950039;
51;94,800079;5;;94,800079;95;94,9000395;
52;94,700081;5;;94,700081;95;94,8500405;
53;94,600082;5;;94,600082;95;94,800041;
54;94,500084;5;;94,500084;95;94,750042;
55;94,400085;5;;94,400085;95;94,7000425;
56;94,300087;5;;94,300087;95;94,6500435;
57;94,200089;5;;94,200089;95;94,6000445;
58;94,10009;5;;94,10009;95;94,550045;
59;94,000092;5;;94,000092;95;94,500046;
60;93,900093;5;;93,900093;95;94,4500465;
61;93,800095;5;;93,800095;95;94,4000475;
62;93,700096;5;;93,700096;95;94,350048;
63;93,600098;5;;93,600098;95;94,300049;
64;93,500099;5;;93,500099;95;94,2500495;
65;93,400101;5;;93,400101;95;94,2000505;
66;93,300102;5;;93,300102;95;94,150051;
67;93,200104;5;;93,200104;95;94,100052;
68;93,100105;5;;93,100105;95;94,0500525;
69;93,000107;5;;93,000107;95;94,0000535;
70;92,900108;5;;92,900108;95;93,950054;
71;92,80011;5;;92,80011;95;93,900055;
72;92,700111;5;;92,700111;95;93,8500555;
73;92,600113;5;;92,600113;95;93,8000565;
74;92,500114;5;;92,500114;95;93,750057;
75;92,400116;5;;92,400116;95;93,700058;
76;92,300117;5;;92,300117;95;93,6500585;
77;92,200119;5;;92,200119;95;93,6000595;
78;92,100121;5;;92,100121;95;93,5500605;
79;92,000122;5;;92,000122;95;93,500061;
80;91,900124;5;;91,900124;95;93,450062;
