Iteration; Energy; Damage;;100 - Damage;Wellbeing (iteration);;;
0;99,900002;0;;100;99,950001;;;
1;99,800003;0;;100;99,9000015;;;
2;99,700005;0;;100;99,8500025;;;
3;99,600006;0;;100;99,800003;;Overall Wellbeing;70,02714318
4;99,500008;0;;100;99,750004;;Physiological Balance;332,2309828
5;99,400009;0;;100;99,7000045;;;
6;99,300011;0;;100;99,6500055;;;
7;99,200012;0;;100;99,600006;;;
8;99,100014;0;;100;99,550007;;;
9;99,000015;0;;100;99,5000075;;;
10;98,900017;0;;100;99,4500085;;;
11;98,800018;0;;100;99,400009;;;
12;98,70002;0;;100;99,35001;;;
13;98,600021;0;;100;99,3000105;;;
14;98,500023;5;;95;96,7500115;;;
15;98,400024;5;;95;96,700012;;;
16;98,300026;5;;95;96,650013;;;
17;98,200027;5;;95;96,6000135;;;
18;98,100029;5;;95;96,5500145;;;
19;98,000031;5;;95;96,5000155;;;
20;97,900032;5;;95;96,450016;;;
21;97,800034;5;;95;96,400017;;;
22;97,700035;5;;95;96,3500175;;;
23;97,600037;5;;95;96,3000185;;;
24;97,500038;5;;95;96,250019;;;
25;97,40004;5;;95;96,20002;;;
26;97,300041;5;;95;96,1500205;;;
27;97,200043;5;;95;96,1000215;;;
28;97,100044;5;;95;96,050022;;;
29;97,000046;5;;95;96,000023;;;
30;96,900047;5;;95;95,9500235;;;
31;96,800049;5;;95;95,9000245;;;
32;96,70005;5;;95;95,850025;;;
33;96,600052;5;;95;95,800026;;;
34;96,500053;5;;95;95,7500265;;;
35;96,400055;5;;95;95,7000275;;;
36;96,300056;5;;95;95,650028;;;
37;96,200058;5;;95;95,600029;;;
38;96,10006;5;;95;95,55003;;;
39;96,000061;5;;95;95,5000305;;;
40;95,900063;5;;95;95,4500315;;;
41;95,800064;5;;95;95,400032;;;
42;95,700066;5;;95;95,350033;;;
43;95,600067;5;;95;95,3000335;;;
44;95,500069;5;;95;95,2500345;;;
45;95,40007;5;;95;95,200035;;;
46;95,300072;5;;95;95,150036;;;
47;95,200073;5;;95;95,1000365;;;
48;95,100075;5;;95;95,0500375;;;
